,mse,psnr,ssim,L_dc_bits,L_ac_bits,L_total_bits,bpp,compression_ratio,entropy_dc,entropy_ac,entropy_bpp_est,num_dc_symbols,num_ac_symbols,q_y,q_c
0,7.2610931396484375,39.52078353283565,0.9916797047271452,96005,2853908,2949913,11.25302505493164,2.1327598474938076,7.778584182576385,4.658790952526332,11.127856381938471,12288,605633,1,1.6
1,8.611647288004557,38.779941269912214,0.9827263852069678,84310,2057513,2141823,8.170406341552734,2.9374304039129284,6.82574265192734,4.505044848198132,8.096307790477148,12288,452498,2,3.2
2,10.816838582356771,37.789800120066005,0.9685761521491423,77263,1590244,1667507,6.361034393310547,3.7729712678867315,6.2638765978370055,4.673061316687281,6.290230884612932,12288,336391,3,4.800000000000001
3,13.296438852945963,36.89345020171895,0.9535355265265473,72502,1245019,1317521,5.025943756103516,4.7752225581224135,5.861313046230874,4.841888180161867,4.979365680150888,12288,254712,4,6.4
4,15.608729044596354,36.19712819201408,0.9394408969803867,68539,988807,1057346,4.033454895019531,5.950233887488107,5.547925349646008,4.935555858345659,4.004163420863284,12288,198862,5,8.0
5,24.2593510945638,34.28201180982833,0.8919213918093479,56659,429628,486287,1.8550376892089844,12.937742526532686,4.5899559390266615,4.8583863637314515,1.8454335596633786,12288,87965,10,16.0
6,38.204933166503906,32.309609165775484,0.8447359759733545,45701,186333,232034,0.8851394653320312,27.114371169742366,3.660357362550996,4.2203464876131385,0.8777769849783973,12288,43865,20,32.0
7,51.77495193481445,30.989606564787515,0.8128326400878919,39006,120844,159850,0.6097793579101562,39.3584985924304,3.1486463760521075,3.7136981533548097,0.6003867608888807,12288,31962,30,48.0
8,66.69446436564128,29.88990571857252,0.7871297923468353,34539,87835,122374,0.46681976318359375,51.4117051007567,2.8000611564172764,3.3036953252467476,0.4636589789915608,12288,26376,40,64.0
9,81.3705457051595,29.02613132300774,0.762186276899075,31672,69096,100768,0.3843994140625,62.43505874880915,2.5593582740508767,2.9765573441065,0.3816268230786414,12288,23044,50,80.0
10,181.6764170328776,25.53781804595653,0.6778054673135396,23800,32987,56787,0.21662521362304688,110.79042738654974,1.851996127403269,1.8109089413062764,0.20129284434836953,12288,16572,100,160.0
11,484.3892072041829,21.278859029119374,0.6006013354776548,17990,18411,36401,0.13885879516601562,172.83744952061755,1.1880010812775197,0.8241858546208323,0.09893353926486095,12288,13755,200,320.0
