,q_y,q_c,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,bpp_mean,bpp_std,compression_ratio_mean,compression_ratio_std,L_total_bits_mean,entropy_bpp_mean
0,1,1.6,7.2610931396484375,,39.52078353283565,,0.9916797047271452,,11.25302505493164,,2.1327598474938076,,2949913.0,11.127856381938471
1,2,3.2,8.611647288004557,,38.779941269912214,,0.9827263852069678,,8.170406341552734,,2.9374304039129284,,2141823.0,8.096307790477148
2,3,4.800000000000001,10.816838582356771,,37.789800120066005,,0.9685761521491423,,6.361034393310547,,3.7729712678867315,,1667507.0,6.290230884612932
3,4,6.4,13.296438852945963,,36.89345020171895,,0.9535355265265473,,5.025943756103516,,4.7752225581224135,,1317521.0,4.979365680150888
4,5,8.0,15.608729044596354,,36.19712819201408,,0.9394408969803867,,4.033454895019531,,5.950233887488107,,1057346.0,4.004163420863284
5,10,16.0,24.2593510945638,,34.28201180982833,,0.8919213918093479,,1.8550376892089844,,12.937742526532686,,486287.0,1.8454335596633786
6,20,32.0,38.204933166503906,,32.309609165775484,,0.8447359759733545,,0.8851394653320312,,27.114371169742366,,232034.0,0.8777769849783973
7,30,48.0,51.77495193481445,,30.989606564787515,,0.8128326400878919,,0.6097793579101562,,39.3584985924304,,159850.0,0.6003867608888807
8,40,64.0,66.69446436564128,,29.88990571857252,,0.7871297923468353,,0.46681976318359375,,51.4117051007567,,122374.0,0.4636589789915608
9,50,80.0,81.3705457051595,,29.02613132300774,,0.762186276899075,,0.3843994140625,,62.43505874880915,,100768.0,0.3816268230786414
10,100,160.0,181.6764170328776,,25.53781804595653,,0.6778054673135396,,0.21662521362304688,,110.79042738654974,,56787.0,0.20129284434836953
11,200,320.0,484.3892072041829,,21.278859029119374,,0.6006013354776548,,0.13885879516601562,,172.83744952061755,,36401.0,0.09893353926486095
