q_y,q_c,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,bpp_mean,bpp_std,compression_ratio_mean,compression_ratio_std,L_total_bits_mean,entropy_bpp_mean
1,1.6,6.4083704452904,0.9853005448725144,40.17426014382239,1.250941686799251,0.9873758524079316,0.012501391679599606,7.98396692181468,2.085669936311324,3.214117317825677,0.872958465357638,21804277.53521127,7.946166169669181
2,3.2,6.903068270529234,1.058959444532549,39.84559795879516,1.2026253030219014,0.9856161996342165,0.011842562655024372,5.366260947410183,1.753915502330156,4.9461856595454865,1.6452053363735104,14655301.57746479,5.339042869005698
3,4.800000000000001,7.7393385269925545,1.2014877362954428,39.33880315168101,1.1017825930711918,0.9825479030361108,0.011712554145404487,4.2040487521998795,1.5361812752563442,6.487768255389479,2.4894043221796527,11481290.774647888,4.180736188056618
4,6.4,8.574724853866748,1.4806910659191401,38.89441826411756,1.0472869703160992,0.9790587421732977,0.012025143743800686,3.509004857557418,1.374758155589103,7.952268193437358,3.3834207218627323,9583120.338028168,3.4880622849932825
5,8.0,8.909404442429953,1.9575470435614721,38.75787183540469,1.1239159816719442,0.9760644599205798,0.011538160269224497,3.0327757896212577,1.2464591571935455,9.363165156857209,4.245235521094457,8282534.943661972,3.0143227343811425
10,16.0,14.61036305286608,4.40438743445986,36.67886332078747,1.3230674008900523,0.9565302450348372,0.0183778797867476,1.8644861448464407,0.872413793099223,16.084848838581927,8.344080346110037,5091926.577464789,1.8510126840070298
20,32.0,29.255416260137377,11.32933295442276,33.78489194429585,1.6910078919372575,0.9205899421193207,0.026599622157503115,1.0922436996486795,0.5548217978667751,28.51595291979553,16.128141406674366,2982926.2816901407,1.0815825718802685
30,48.0,46.35271636036143,19.3150053336572,31.82868354988797,1.7950694598005115,0.889185345233969,0.03202148151090545,0.7786132858915303,0.4040551157863663,39.99089693250169,21.939987858234254,2126399.1126760566,0.7688379800767672
40,64.0,64.50206332008621,28.0498651992755,30.4232578519498,1.8679421873132966,0.8615325857132826,0.03730289711228961,0.6052778490166723,0.31393793158569594,50.93189771861135,26.647981944341158,1653018.647887324,0.5942643636065722
50,80.0,83.9346620772728,36.79236579797208,29.278874965172683,1.8561360083314506,0.8343689101507336,0.04254100079264834,0.4942633883187577,0.25389886811807477,61.45694681202432,30.348363247510235,1349837.2676056337,0.48170867245040117
100,160.0,192.66082190217256,80.90501218890645,25.634946498400797,1.7704447890736383,0.7386389379377337,0.06351964715232576,0.2565785543312367,0.11554923666703709,108.99546022899189,39.54560048061659,700718.0845070423,0.23297110139471075
200,320.0,431.99457340987914,171.18393423149217,22.08978426162618,1.670987121782703,0.6244635512808213,0.09485428949237656,0.1447791335034485,0.03877969503873105,174.62353363752786,35.50595612204242,395392.9718309859,0.09857031232591042
