q_y,q_c,mse_decoded_mean,mse_decoded_std,psnr_decoded_mean,psnr_decoded_std,ssim_decoded_mean,ssim_decoded_std,mse_enhanced_mean,mse_enhanced_std,psnr_enhanced_mean,psnr_enhanced_std,ssim_enhanced_mean,ssim_enhanced_std,mse_improvement_mean,mse_improvement_std,psnr_improvement_mean,psnr_improvement_std,ssim_improvement_mean,ssim_improvement_std
1,2,6.438817962524161,1.001498094277111,40.15539673860253,1.2599868355726764,0.9872810006245198,0.012386794408939155,13.956109686195695,4.898143007143812,36.95557760229543,1.5879882975726178,0.95342728947391,0.018888269566621593,-7.517291723671535,4.738764665658288,-3.199819136307103,1.8140304751507403,-0.033853711150609894,0.01603139644655964
2,3,6.947636687840847,1.0383538629289681,39.81546372205269,1.1960892309461826,0.9857339008380882,0.011913686852889138,14.168504956769269,4.944450449407236,36.8851071638793,1.56985143234326,0.9530774574578378,0.018833337196333153,-7.220868268928422,4.784060798470973,-2.930356558173389,1.7770426231184182,-0.032656443380250526,0.015890984757599032
3,5,7.887875969454082,1.2127804410254208,39.25562023450839,1.102363756544017,0.9823245823207901,0.011638602323486204,14.557404356145621,5.164723768788194,36.77504036414569,1.5898036806459015,0.9523188289626549,0.01883236967547257,-6.669528386691541,4.757046833371871,-2.480579870362704,1.6197348492186838,-0.03000575335813542,0.015578653873907798
4,6,8.382052832772004,1.4228591268877304,38.99077090269225,1.0350249214148695,0.9795119063515035,0.011812816780117781,14.712332121694516,5.360078980446573,36.743008900813244,1.6287142027581274,0.9518082783529829,0.0187784625641796,-6.330279288922511,4.62553047826063,-2.2477620018790074,1.4345265056830185,-0.027703627998520566,0.014931815574475017
5,8,8.909404442429953,1.9575470435614721,38.75787183540469,1.1239159816719442,0.9760644599205798,0.011538160269224497,14.91946399835199,5.747282531235242,36.712814424486915,1.7090520516936523,0.9511407605302855,0.018652645559982407,-6.0100595559220364,4.3660107389301706,-2.0450574109177846,1.2005923222249208,-0.024923699390294273,0.01417907466670413
10,16,14.61036305286608,4.40438743445986,36.67886332078747,1.3230674008900523,0.9565302450348372,0.0183778797867476,17.350312571995293,7.38420105176765,36.10488638689543,1.8093200131524236,0.9454464274767613,0.02044626764659778,-2.739949519129211,3.4648488585811568,-0.5739769338920409,0.7084781601759257,-0.011083817558075847,0.01063683088904442
20,32,29.255416260137377,11.32933295442276,33.78489194429585,1.6910078919372575,0.9205899421193207,0.026599622157503115,24.63538098877055,11.899120791996816,34.670093526933364,2.010651250541058,0.930076024260806,0.02599726038150254,4.620035271366827,2.065053795088779,0.8852015826375101,0.42786060323270786,0.009486082141485266,0.00823606628111952
30,48,46.35271636036143,19.3150053336572,31.82868354988797,1.7950694598005115,0.889185345233969,0.03202148151090545,34.561895414894224,17.666345568274064,33.24750780250745,2.1138886110304203,0.9127955745918317,0.03091916544015382,11.790820945467203,3.4018046335576058,1.4188242526194745,0.4216816904843568,0.023610229357862826,0.010008854490665735
40,64,64.50206332008621,28.0498651992755,30.4232578519498,1.8679421873132966,0.8615325857132826,0.03730289711228961,46.49805867308235,24.337728710540613,31.980686304010025,2.1576033745723677,0.8945271507241537,0.035641105052459154,18.004004647003853,5.527300148554891,1.557428452060223,0.40989809309994885,0.032994565010871016,0.01215614935571355
50,80,83.9346620772728,36.79236579797208,29.278874965172683,1.8561360083314506,0.8343689101507336,0.04254100079264834,60.37946685574679,31.47888920278,30.83881995038166,2.1347600662301214,0.8738921668401829,0.04118028868876412,23.555195221526006,7.344704272644307,1.559944985208978,0.41657088203960374,0.039523256689449386,0.013659418111035977
100,160,192.66082190217256,80.90501218890645,25.634946498400797,1.7704447890736383,0.7386389379377337,0.06351964715232576,152.49444442862884,69.72134907762513,26.692056742643665,1.8489611077400323,0.7824192703524606,0.06039584720359912,40.16637747354369,13.57213050922208,1.0571102442428664,0.22937725298930414,0.043780332414727015,0.014161957486156972
200,320,431.99457340987914,171.18393423149217,22.08978426162618,1.670987121782703,0.6244635512808213,0.09485428949237656,385.09420770989675,153.5068632253174,22.585823749253628,1.6551884883002685,0.6525443100271343,0.0926177356485805,46.90036569998237,20.647648095892052,0.4960394876274491,0.12011644735648586,0.028080758746312884,0.010527534866424779
